id	label	query
86	5	SELECT story_id FROM stories
87	5	SELECT DISTINCT cluster_id, equivalence_token FROM all_tiles WHERE type = 2 ORDER BY view_order
88	5	SELECT photo_id FROM all_tiles WHERE view_id='notification:CgxncGx1c19waG90b3MaEzYxMTgxMjc3MzU1NjU1NDc2OTc'
89	5	SELECT square_id, square_name, tagline, photo_url, about_text, joinability, member_count, membership_status, is_member, list_category, post_visibility, can_see_members, can_see_posts, can_join, can_request_to_join, can_share, can_invite, notifications_enabled, square_streams, sort_index, inviter_gaia_id, inviter_name, inviter_photo_url, last_sync, last_members_sync, auto_subscribe, disable_subscription, unread_count, volume, suggestion_id, restricted_domain, related_links, location FROM squares WHERE is_member!=0 OR membership_status = 5
99	5	SELECT DISTINCT timestamp FROM all_tiles WHERE view_id = ? AND type = 4 ORDER BY view_order
110	6	SELECT last_sync FROM sync_status WHERE sync_data_kind = ?
96	6	SELECT last_sync FROM synclet_status WHERE synclet_name = ?
102	6	SELECT fingerprint FROM local_fingerprints WHERE content_uri=?
105	6	SELECT view_name FROM partition_views WHERE partition_name=?
109	6	SELECT content_uri FROM local_fingerprints INNER JOIN server_fingerprints ON (local_fingerprints.fingerprint=server_fingerprints.fingerprint) WHERE image_url=? AND owner_id=?
11	6	SELECT COUNT(*) FROM guns
119	6	SELECT name FROM sqlite_master WHERE type='view'
127	6	SELECT version FROM table_versions WHERE table_name=?
129	6	SELECT fingerprint FROM local_fingerprints WHERE content_uri=? LIMIT 1
131	6	SELECT fingerprint FROM server_fingerprints WHERE owner_id=?
18	6	SELECT bucket_id FROM local_folders
22	6	SELECT _id, handle, item_creation_timestamp, item_state, item_data FROM networkqueue_items ORDER BY _id ASC
3	6	SELECT name FROM SQLITE_MASTER WHERE name=?
38	6	SELECT name FROM sqlite_master WHERE type='table'
40	6	SELECT package_name, name, source_name, embed_deep_link, launch_source, embed_appinvite FROM deep_link_installs_view WHERE package_name=?
70	6	SELECT bucket_id FROM exclude_bucket
8	6	SELECT table_name FROM partition_tables WHERE partition_name=?
90	6	SELECT partition_name, version FROM partition_versions
106	7	SELECT content_url, filename, hash_code, last_access, size, _id FROM files WHERE hash_code=? AND content_url=?
111	7	SELECT sum(size) FROM files
12	7	SELECT DISTINCT COUNT(*) FROM media_record WHERE upload_account_id = -1
100	7	SELECT media_type, volume_name, last_media_id FROM media_tracker
104	7	SELECT album_id, upload_url, bucket_id, upload_error, resume_token, event_id, fingerprint, component_name, mime_type, media_url, media_id, media_time, media_hash, upload_time, upload_id, bytes_uploaded, retry_end_time, upload_finish_time, bytes_total, upload_account_id, from_camera, upload_reason, upload_state, upload_status, upload_task_state, is_image, allow_full_res, _id FROM media_record WHERE upload_account_id = ? AND upload_state = 100 ORDER BY upload_reason ASC, upload_state ASC, upload_status ASC, is_image DESC, retry_end_time ASC LIMIT 1
117	7	SELECT album_id, upload_url, bucket_id, upload_error, upload_account, event_id, fingerprint, component_name, plus_page_id, mime_type, media_url, media_time, media_id, media_hash, upload_time, upload_id, retry_end_time, bytes_uploaded, bytes_total, upload_finish_time, from_camera, upload_reason, upload_state, upload_status, upload_task_state, is_image, allow_full_res, _id FROM media_record WHERE upload_account = ? AND upload_state = 100 ORDER BY upload_reason ASC, upload_state ASC, upload_status ASC, is_image DESC, retry_end_time ASC LIMIT 1
135	7	SELECT album_id, upload_url, bucket_id, upload_error, resume_token, event_id, fingerprint, component_name, mime_type, media_url, media_id, media_time, media_hash, upload_time, upload_id, bytes_uploaded, retry_end_time, upload_finish_time, bytes_total, upload_account_id, from_camera, upload_reason, upload_state, upload_status, upload_task_state, is_image, allow_full_res, _id FROM media_record WHERE media_url = ? AND upload_account_id = -1
24	7	SELECT album_id, upload_url, bucket_id, upload_error, upload_account, event_id, fingerprint, component_name, plus_page_id, mime_type, media_url, media_time, media_id, media_hash, upload_time, upload_id, retry_end_time, bytes_uploaded, bytes_total, upload_finish_time, from_camera, upload_reason, upload_state, upload_status, upload_task_state, is_image, allow_full_res, _id FROM media_record WHERE media_url = ? AND upload_account IS NULL
51	7	SELECT image_url, filename, size FROM media_cache WHERE http_status = 200
64	7	SELECT DISTINCT COUNT(*) FROM media_record WHERE upload_account IS NULL
66	7	SELECT filename FROM media_cache WHERE http_status = 200
67	7	SELECT DISTINCT album_id, upload_url, bucket_id, upload_error, resume_token, event_id, fingerprint, component_name, mime_type, media_url, media_id, media_time, media_hash, upload_time, upload_id, bytes_uploaded, retry_end_time, upload_finish_time, bytes_total, upload_account_id, from_camera, upload_reason, upload_state, upload_status, upload_task_state, is_image, allow_full_res, _id FROM media_record WHERE upload_reason = 30 AND upload_state = 400 LIMIT 1
74	7	SELECT image_url FROM media_cache WHERE filename = ?
9	7	SELECT album_id, upload_url, bucket_id, upload_error, resume_token, event_id, fingerprint, component_name, mime_type, media_url, media_id, media_time, media_hash, upload_time, upload_id, bytes_uploaded, retry_end_time, upload_finish_time, bytes_total, upload_account_id, from_camera, upload_reason, upload_state, upload_status, upload_task_state, is_image, allow_full_res, _id FROM media_record WHERE upload_account_id != -1 AND upload_state = 100 ORDER BY upload_reason ASC, upload_state ASC, upload_status ASC, is_image DESC, retry_end_time ASC LIMIT 1
118	8	SELECT fingerprint FROM photos WHERE local_path IS NOT NULL AND cleanup_time < ?
19	8	SELECT media_store_token FROM all_photos_local_sync WHERE media_store_uri = ?
124	8	SELECT _id FROM all_photos WHERE fingerprint = ? AND photo_id IS NULL LIMIT 1
125	8	SELECT local_content_uri FROM all_photos WHERE local_content_uri LIKE ? LIMIT 0, 3000
130	8	SELECT is_primary, fingerprint FROM all_photos WHERE photo_id = ?
133	8	SELECT DISTINCT all_photos.image_url, sum(representation_type), media_attr, data, NULL as title FROM all_photos LEFT OUTER JOIN media_cache ON (all_photos.image_url=media_cache.image_url) WHERE all_photos.image_url IS NOT NULL AND is_primary = 1 AND (has_edit_list = 1 OR local_content_uri IS NULL) GROUP BY all_photos.image_url ORDER BY timestamp DESC LIMIT 50
23	8	SELECT _id, image_url, local_content_uri, media_attr, user_actions, photo_id, has_edit_list, signature FROM all_photos WHERE _id IN (4687)
27	8	SELECT token FROM photo_requests WHERE token_type = ?
35	8	SELECT photo_id FROM all_photos WHERE is_primary = 1 AND photo_id IS NOT NULL AND fingerprint = ?
39	8	SELECT _id, image_url, local_content_uri, media_attr, user_actions, photo_id, has_edit_list, signature FROM all_photos WHERE _id IN (4686)
43	8	SELECT media_cache.image_url,filename,size,representation_type FROM (SELECT image_url as all_photos_image_url, timestamp as all_photos_timestamp FROM all_photos WHERE all_photos_image_url IS NOT NULL AND is_primary = 1 AND (has_edit_list = 1 OR local_content_uri IS NULL) LIMIT ? OFFSET ?) INNER JOIN media_cache ON (all_photos_image_url = media_cache.image_url) WHERE http_status = 200 AND representation_type & ? != 0 ORDER BY all_photos_timestamp DESC
57	8	SELECT _id, image_url, local_content_uri, media_attr, user_actions, photo_id, has_edit_list, signature FROM all_photos WHERE _id IN (4685)
7	8	SELECT _id, image_url, local_content_uri, media_attr, user_actions, photo_id, has_edit_list, signature FROM all_photos WHERE _id IN (4688)
71	8	SELECT image_url, media_attr, data FROM all_photos WHERE all_photos.image_url IS NOT NULL AND is_primary = 1 AND (has_edit_list = 1 OR local_content_uri IS NULL)
76	8	SELECT _id, image_url, local_content_uri, media_attr, user_actions, photo_id, has_edit_list, signature FROM all_photos WHERE _id IN (4684)
80	8	SELECT image_url FROM all_photos WHERE all_photos.image_url IS NOT NULL AND is_primary = 1 AND (has_edit_list = 1 OR local_content_uri IS NULL)
83	8	SELECT _id FROM all_photos WHERE local_content_uri = ? AND photo_id IS NULL LIMIT 1
85	8	SELECT _id, user_actions, media_attr, photo_id, data, image_url, timestamp, has_edit_list FROM all_photos WHERE photo_id IS NOT NULL AND fingerprint = ? AND is_primary = 1
95	8	SELECT _id, image_url, local_content_uri, media_attr, user_actions, photo_id, has_edit_list, signature FROM all_photos WHERE _id IN (4683)
97	8	SELECT local_file_path, local_content_uri, signature FROM all_photos WHERE fingerprint = ? AND local_file_path IS NOT NULL AND local_content_uri IS NOT NULL
122	5	SELECT square_id, joinability, membership_status, suggestion_id FROM squares WHERE (1=1) ORDER BY square_name COLLATE LOCALIZED
34	5	SELECT _id, square_id, square_name, unread_count, membership_status, joinability, photo_url FROM squares WHERE (is_member!=0) ORDER BY square_name COLLATE NOCASE
93	4	SELECT action_type, person_id, suggestion_id, suggestion_ui, timestamp, action_source, ROWID FROM suggestion_events ORDER BY timestamp
